,Date,Ticker,Representative,Transaction,Amount,Range
0,2020-03-18,COTY, Gilbert Cisneros,Sale,1001.0,"$1,001-$15,000"
1,2019-12-06,COTY, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
2,2019-08-14,COTY, Gilbert Cisneros,Sale,1001.0,"$1,001-$15,000"
3,2019-08-13,COTY, Dean Phillips,Sale,1001.0,"$1,001-$15,000"
4,2019-03-14,COTY, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
5,2019-03-06,COTY, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
6,2019-02-04,COTY, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
7,2019-01-04,COTY, Dean Phillips,Sale,1001.0,"$1,001-$15,000"
8,2018-12-21,COTY, Greg Gianforte,Purchase,50001.0,"$50,001-$100,000"
9,2021-11-05,EBS, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
10,2021-10-18,EBS, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
11,2021-09-15,EBS, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
12,2021-02-23,EBS, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
13,2020-11-24,EBS, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
14,2020-07-30,EBS, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
15,2020-06-30,EBS, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
16,2020-06-26,EBS, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
17,2020-06-19,EBS, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
18,2020-06-15,EBS, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
19,2020-03-26,EBS, Steve Cohen,Sale,1001.0,"$1,001-$15,000"
20,2019-08-29,EBS, Steve Cohen,Sale,15001.0,"$15,001-$50,000"
21,2023-02-15,CMCSA, Scott Mr Franklin,Sale,50001.0,"$50,001-$100,000"
22,2023-01-31,CMCSA, Kevin Hern,Sale,1001.0,"$1,001-$15,000"
23,2022-12-07,CMCSA, Robert J. Wittman,Purchase,1001.0,"$1,001-$15,000"
24,2022-10-12,CMCSA, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
25,2022-10-12,CMCSA, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
26,2022-09-15,CMCSA, Robert J. Wittman,Sale,1001.0,"$1,001-$15,000"
27,2022-09-12,CMCSA, Kathy Manning,Sale,1001.0,"$1,001-$15,000"
28,2022-07-15,CMCSA, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
29,2022-06-15,CMCSA, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
30,2022-03-09,CMCSA, John Curtis,Sale,1001.0,"$1,001-$15,000"
31,2022-01-18,CMCSA, Pete Sessions,Sale,1001.0,"$1,001-$15,000"
32,2021-09-02,CMCSA, Zoe Lofgren,Purchase,1001.0,"$1,001-$15,000"
33,2021-06-22,CMCSA, John Curtis,Sale,1001.0,"$1,001-$15,000"
34,2021-05-19,CMCSA, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
35,2021-03-05,CMCSA, John A. Yarmuth,Sale,1001.0,"$1,001-$15,000"
36,2021-02-23,CMCSA, John Rutherford,Sale,1001.0,"$1,001-$15,000"
37,2021-02-18,CMCSA, John Rutherford,Sale,1001.0,"$1,001-$15,000"
38,2021-02-16,CMCSA,Mr. Peter Meijer,Sale,15001.0,"$15,001-$50,000"
39,2020-12-16,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
40,2020-11-16,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
41,2020-11-02,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
