,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,Shares,PricePerShare,SharesOwnedFollowing,fileDate
0,PWSC,2023-03-25T00:00:00.000Z,GULATI HARDEEP,A,A,128337.0,0.0,2443293.0,2023-03-29T01:59:29.000Z
1,PWSC,2023-03-25T00:00:00.000Z,Shander Eric Ryan,A,A,89836.0,0.0,585907.0,2023-03-29T01:56:58.000Z
2,CNOB,2023-03-27T00:00:00.000Z,Magennis Elizabeth,D,F,1144.0,18.0,118673.0,2023-03-29T01:55:53.000Z
3,CNOB,2023-03-23T00:00:00.000Z,Magennis Elizabeth,D,F,1115.0,17.35,119817.0,2023-03-29T01:55:53.000Z
4,CNOB,2023-03-20T00:00:00.000Z,Magennis Elizabeth,D,F,2925.0,17.93,120932.0,2023-03-29T01:55:53.000Z
5,CNOB,2023-03-20T00:00:00.000Z,Magennis Elizabeth,D,F,8774.0,17.93,123857.0,2023-03-29T01:55:53.000Z
6,CNOB,2023-03-20T00:00:00.000Z,Magennis Elizabeth,A,A,17549.0,0.0,132631.0,2023-03-29T01:55:53.000Z
7,CNOB,2023-03-20T00:00:00.000Z,Magennis Elizabeth,A,A,14274.0,0.0,115082.0,2023-03-29T01:55:53.000Z
8,AXON,2023-03-27T00:00:00.000Z,SMITH PATRICK W,D,S,5019.0,218.3568,2778599.0,2023-03-29T01:54:38.000Z
9,AXON,2023-03-27T00:00:00.000Z,SMITH PATRICK W,D,S,16993.0,217.5545,2783618.0,2023-03-29T01:54:38.000Z
10,AXON,2023-03-27T00:00:00.000Z,SMITH PATRICK W,D,S,5408.0,216.5151,2800611.0,2023-03-29T01:54:38.000Z
11,AXON,2023-03-27T00:00:00.000Z,SMITH PATRICK W,A,M,57863.0,218.59,2806019.0,2023-03-29T01:54:38.000Z
12,AXON,2023-03-28T00:00:00.000Z,SMITH PATRICK W,D,S,1742.0,216.0666,2804783.0,2023-03-29T01:54:38.000Z
13,AXON,2023-03-28T00:00:00.000Z,SMITH PATRICK W,D,S,3332.0,216.0666,2806525.0,2023-03-29T01:54:38.000Z
14,AXON,2023-03-28T00:00:00.000Z,SMITH PATRICK W,D,S,27963.0,215.3978,2809857.0,2023-03-29T01:54:38.000Z
15,AXON,2023-03-28T00:00:00.000Z,SMITH PATRICK W,A,M,66076.0,215.6,2837820.0,2023-03-29T01:54:38.000Z
16,AXON,2023-03-27T00:00:00.000Z,SMITH PATRICK W,D,S,428.0,220.1403,2771744.0,2023-03-29T01:54:38.000Z
17,AXON,2023-03-27T00:00:00.000Z,SMITH PATRICK W,D,S,2270.0,219.4678,2772172.0,2023-03-29T01:54:38.000Z
18,AXON,2023-03-27T00:00:00.000Z,SMITH PATRICK W,D,S,4157.0,218.3568,2774442.0,2023-03-29T01:54:38.000Z
19,AXON,2023-03-28T00:00:00.000Z,SMITH PATRICK W,D,S,1393.0,218.0887,2798701.0,2023-03-29T01:54:38.000Z
20,AXON,2023-03-28T00:00:00.000Z,SMITH PATRICK W,D,S,4689.0,217.2893,2800094.0,2023-03-29T01:54:38.000Z
21,MCAG,2023-03-28T00:00:00.000Z,Liu Suying,D,J,1840800.0,,0.0,2023-03-29T01:53:05.000Z
22,CNOB,2023-03-27T00:00:00.000Z,Burns William S,D,F,1064.0,18.0,114258.0,2023-03-29T01:47:13.000Z
23,CNOB,2023-03-20T00:00:00.000Z,Burns William S,D,F,2995.0,17.93,116387.0,2023-03-29T01:47:13.000Z
24,CNOB,2023-03-20T00:00:00.000Z,Burns William S,A,A,17967.0,0.0,128365.0,2023-03-29T01:47:13.000Z
25,CNOB,2023-03-20T00:00:00.000Z,Burns William S,D,F,8983.0,17.93,119382.0,2023-03-29T01:47:13.000Z
26,CNOB,2023-03-20T00:00:00.000Z,Burns William S,A,A,13268.0,0.0,110398.0,2023-03-29T01:47:13.000Z
27,CNOB,2023-03-23T00:00:00.000Z,Burns William S,D,F,1065.0,17.35,115322.0,2023-03-29T01:47:13.000Z
28,PWSC,2023-03-25T00:00:00.000Z,DANIEL MARCY,A,A,102669.0,0.0,312101.0,2023-03-29T01:43:07.000Z
29,PWSC,2023-03-25T00:00:00.000Z,Bisignano Michael C.,A,A,56468.0,0.0,202227.0,2023-03-29T01:40:51.000Z
30,PWSC,2023-03-25T00:00:00.000Z,SINGH DEVENDRA,A,A,112936.0,0.0,394265.0,2023-03-29T01:39:05.000Z
31,CNOB,2023-03-20T00:00:00.000Z,Sorrentino Frank III,A,A,57452.0,0.0,878806.0,2023-03-29T01:39:03.000Z
32,CNOB,2023-03-27T00:00:00.000Z,Sorrentino Frank III,D,F,4528.0,18.0,824230.0,2023-03-29T01:39:03.000Z
33,CNOB,2023-03-23T00:00:00.000Z,Sorrentino Frank III,D,F,4086.0,17.35,828758.0,2023-03-29T01:39:03.000Z
34,CNOB,2023-03-20T00:00:00.000Z,Sorrentino Frank III,D,F,11491.0,17.93,832844.0,2023-03-29T01:39:03.000Z
35,CNOB,2023-03-20T00:00:00.000Z,Sorrentino Frank III,D,F,34471.0,17.93,844335.0,2023-03-29T01:39:03.000Z
36,CNOB,2023-03-20T00:00:00.000Z,Sorrentino Frank III,A,A,49411.0,0.0,821354.0,2023-03-29T01:39:03.000Z
37,PINS,2023-03-27T00:00:00.000Z,Morgenfeld Todd R,D,S,42289.0,28.104,531068.0,2023-03-29T01:38:17.000Z
38,PINS,2023-03-27T00:00:00.000Z,Morgenfeld Todd R,D,S,18248.0,28.8062,512820.0,2023-03-29T01:38:17.000Z
39,PWSC,2023-03-25T00:00:00.000Z,Studer Fred,A,A,41068.0,0.0,220239.0,2023-03-29T01:36:31.000Z
40,ERAS,2023-03-28T00:00:00.000Z,Lim Jonathan E,A,P,100000.0,2.84,18296216.0,2023-03-29T01:24:46.000Z
41,RCL,2023-03-24T00:00:00.000Z,Bayley Michael W,A,A,10315.0,0.0,158469.0,2023-03-29T01:22:12.000Z
42,RCL,2023-03-24T00:00:00.000Z,Bayley Michael W,D,F,11596.0,60.435,142815.0,2023-03-29T01:22:12.000Z
43,RCL,2023-03-24T00:00:00.000Z,Bayley Michael W,D,F,4058.0,60.435,154411.0,2023-03-29T01:22:12.000Z
44,EVOP,2023-03-24T00:00:00.000Z,Radesca Anthony J.,D,D,11682.0,,0.0,2023-03-29T01:18:36.000Z
45,EVOP,2023-03-24T00:00:00.000Z,Chancy Mark A,D,D,21187.0,,0.0,2023-03-29T01:16:21.000Z
46,RCL,2023-03-24T00:00:00.000Z,Holtz Naftali,D,F,301.0,60.435,36746.0,2023-03-29T01:16:14.000Z
47,EVOP,2023-03-24T00:00:00.000Z,Tansill Brendan F,D,D,90183.0,,0.0,2023-03-29T01:15:39.000Z
