,Date,Ticker,Senator,Transaction,Amount,Range
0,2022-01-14,AWK,"Tuberville, Tommy",Sale,15001.0,"$15,001 - $50,000"
1,2016-12-01,AWK,"Collins, Susan M.",Purchase,15001.0,"$15,001 - $50,000"
2,2016-12-01,AWK,"Collins, Susan M.",Purchase,15001.0,"$15,001 - $50,000"
3,2018-12-27,APTV,"Inhofe, James M.",Sale,15001.0,"$15,001 - $50,000"
4,2018-11-16,APTV,"Inhofe, James M.",Sale,15001.0,"$15,001 - $50,000"
5,2018-11-16,APTV,"Inhofe, James M.",Sale,15001.0,"$15,001 - $50,000"
6,2018-10-08,APTV,"Inhofe, James M.",Purchase,15001.0,"$15,001 - $50,000"
7,2018-06-28,APTV,"Inhofe, James M.",Purchase,15001.0,"$15,001 - $50,000"
8,2016-03-24,RRC,"Inhofe, James M.",Sale,50001.0,"$50,001 - $100,000"
9,2017-06-15,CMA,"Murray, Patty",Sale,1001.0,"$1,001 - $15,000"
10,2017-03-16,CMA,"Murray, Patty",Purchase,1001.0,"$1,001 - $15,000"
11,2022-03-30,RF,"Tuberville, Tommy",Purchase,1001.0,"$1,001 - $15,000"
12,2020-04-14,RF,"Perdue, David",Sale,50001.0,"$50,001 - $100,000"
13,2020-04-14,RF,"Perdue, David",Sale,50001.0,"$50,001 - $100,000"
14,2020-03-16,RF,"Perdue, David",Purchase,1001.0,"$1,001 - $15,000"
15,2019-12-09,RF,"Perdue, David",Purchase,15001.0,"$15,001 - $50,000"
16,2019-11-11,RF,"Perdue, David",Purchase,100001.0,"$100,001 - $250,000"
17,2019-10-23,RF,"Perdue, David",Sale,15001.0,"$15,001 - $50,000"
18,2019-10-11,RF,"Perdue, David",Sale,100001.0,"$100,001 - $250,000"
19,2018-12-21,RF,"Perdue, David",Purchase,1001.0,"$1,001 - $15,000"
20,2018-12-12,RF,"Perdue, David",Purchase,1001.0,"$1,001 - $15,000"
21,2018-10-24,RF,"Perdue, David",Purchase,1001.0,"$1,001 - $15,000"
